L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev	time	bytes
20	20000	0.0	0	2	16	0.6283185307179586	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	312	31.200000000000003	5.08053097034899	20	0.8061285063429442	20281	0.0004701	63520
20	20000	0.0	0	1	64	0.6283185307179586	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	156	15.600000000000001	3.4094548007113694	20	0.951372587806721	18835	0.0006937	96576
20	20000	0.0	0	2	64	0.6283185307179586	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	78	7.800000000000001	2.326796688254643	20	0.9008464019849599	20047	0.0010146	135712
20	20000	0.0	0	1	1	1.0	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	10000	1000.0	64.01198792503472	20	1.0	1	0.0	0
20	20000	0.0	0	2	1	1.0	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	5000	500.0	42.19901471793168	20	0.9855230923701624	24921	0.0002616	41184
20	20000	0.0	0	1	4	1.0	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	2500	250.0	27.83579185360121	20	1.0	1	0.0	0
20	20000	0.0	0	2	4	1.0	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	1250	125.0	18.38328279676258	20	0.7828427093612715	21251	0.0002983	45696
20	20000	0.0	0	1	16	1.0	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	625	62.5	12.169417269950083	20	1.0	1	0.0	0
20	20000	0.0	0	2	16	1.0	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	312	31.200000000000003	8.085916174625053	20	0.7734217520465086	20281	0.0004256	63520
20	20000	0.0	0	1	64	1.0	0.602	0.1	0.02	0.101	1.0	1.0	1.0	0.0	156	15.600000000000001	5.426315847816074	20	1.0	1	0.0	0
20	20000	0.0	0	2	64	1.0	0.602	0.1	0.02	0.101	1.0	1.0	Inf	0.0	78	7.800000000000001	3.703211945055782	20	0.8691905307211842	20047	0.0009787	135712
20	20000	0.0	0	1	1	0.01	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	10000	1000.0	10.01	20	0.6540857226677335	30001	1.65e-5	1984
20	20000	0.0	0	2	1	0.01	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	5000	500.0	5.01	20	0.9111374009195616	25001	0.0002528	41184
20	20000	0.0	0	1	4	0.01	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	2500	250.0	2.5100000000000002	20	0.9010241049582243	22501	4.84e-5	6496
20	20000	0.0	0	2	4	0.01	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	1250	125.0	1.26	20	0.9589677952129937	21251	0.0003037	45696
20	20000	0.0	0	1	16	0.01	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	625	62.5	0.635	20	0.9707172503367211	20626	0.0001785	24544
20	20000	0.0	0	2	16	0.01	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	312	31.200000000000003	0.322	20	0.9777527148634633	20281	0.0004451	63520
20	20000	0.0	0	1	64	0.01	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	156	15.600000000000001	0.166	20	0.9855980519661047	20125	0.0007067	96576
20	20000	0.0	0	2	64	0.01	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	78	7.800000000000001	0.08800000000000001	20	0.9898431052904596	20047	0.0012145	135712
20	20000	0.0	0	1	1	0.1	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	10000	1000.0	100.10000000000001	20	0.5847870325063246	29932	1.41e-5	1984
20	20000	0.0	0	2	1	0.1	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	5000	500.0	50.1	20	0.7899656342936986	25001	0.0002675	41184
20	20000	0.0	0	1	4	0.1	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	2500	250.0	25.1	20	0.4846476739952288	22501	4.64e-5	6496
20	20000	0.0	0	2	4	0.1	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	1250	125.0	12.600000000000001	20	0.8672387640959336	21217	0.0003034	45696
20	20000	0.0	0	1	16	0.1	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	625	62.5	6.3500000000000005	20	0.7586860143572728	20626	0.0001772	24544
20	20000	0.0	0	2	16	0.1	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	312	31.200000000000003	3.2200000000000006	20	0.934162530186583	20281	0.0004472	63520
20	20000	0.0	0	1	64	0.1	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	156	15.600000000000001	1.6600000000000001	20	0.9348307176490318	20125	0.0008298	96576
20	20000	0.0	0	2	64	0.1	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	78	7.800000000000001	0.8800000000000001	20	0.9653952282505088	20047	0.0009903	135712
20	20000	0.0	0	1	1	0.6283185307179586	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	10000	1000.0	628.9468492486766	20	0.9975776679901932	26677	1.38e-5	1984
20	20000	0.0	0	2	1	0.6283185307179586	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	5000	500.0	314.78758388969726	20	0.9247187231139085	24946	0.0002594	41184
20	20000	0.0	0	1	4	0.6283185307179586	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	2500	250.0	157.70795121020763	20	0.9468839997964359	22492	5.72e-5	6496
20	20000	0.0	0	2	4	0.6283185307179586	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	1250	125.0	79.16813487046278	20	0.731196056328001	21251	0.0002974	45696
20	20000	0.0	0	1	16	0.6283185307179586	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	625	62.5	39.89822670059037	20	0.8316546559868557	20329	0.0001772	24544
20	20000	0.0	0	2	16	0.6283185307179586	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	312	31.200000000000003	20.23185668911827	20	0.8582112200422642	20281	0.0004348	63520
20	20000	0.0	0	1	64	0.6283185307179586	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	156	15.600000000000001	10.430087609918115	20	0.8870950620109171	19867	0.0007076	96576
20	20000	0.0	0	2	64	0.6283185307179586	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	78	7.800000000000001	5.529203070318037	20	0.9241271894051359	20047	0.0009979	135712
20	20000	0.0	0	1	1	1.0	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	10000	1000.0	1001.0	20	1.0	1	0.0	0
20	20000	0.0	0	2	1	1.0	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	5000	500.0	501.0	20	0.9827677169809085	24991	0.0002547	41184
20	20000	0.0	0	1	4	1.0	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	2500	250.0	251.0	20	1.0	1	0.0	0
20	20000	0.0	0	2	4	1.0	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	1250	125.0	126.0	20	0.7226473433314644	21251	0.0002956	45696
20	20000	0.0	0	1	16	1.0	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	625	62.5	63.5	20	0.9039003463267112	20626	0.0001782	24544
20	20000	0.0	0	2	16	1.0	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	312	31.200000000000003	32.2	20	0.8294951221157392	20281	0.0004389	63520
20	20000	0.0	0	1	64	1.0	1.0	0.1	0.02	0.101	1.0	1.0	1.0	0.0	156	15.600000000000001	16.6	20	0.9245327444082332	19093	0.0008766	96576
20	20000	0.0	0	2	64	1.0	1.0	0.1	0.02	0.101	1.0	1.0	Inf	0.0	78	7.800000000000001	8.8	20	0.9056064586032473	20047	0.0016534	135712
20	20000	0.0	0	1	1	0.01	0.602	0.0	0.02	0.101	1.0	1.0	1.0	Inf	10000	0.0	0.01	20	0.9794371130740697	30001	1.38e-5	1984
20	20000	0.0	0	2	1	0.01	0.602	0.0	0.02	0.101	1.0	1.0	Inf	Inf	5000	0.0	0.01	20	0.9797147042812782	25001	0.0002626	41184
20	20000	0.0	0	1	4	0.01	0.602	0.0	0.02	0.101	1.0	1.0	1.0	Inf	2500	0.0	0.01	20	0.9836456669136117	22501	4.65e-5	6496
20	20000	0.0	0	2	4	0.01	0.602	0.0	0.02	0.101	1.0	1.0	Inf	Inf	1250	0.0	0.01	20	0.9853055090064233	21251	0.0003034	45696
20	20000	0.0	0	1	16	0.01	0.602	0.0	0.02	0.101	1.0	1.0	1.0	Inf	625	0.0	0.01	20	0.9865774590333241	20626	0.0003709	24544
20	20000	0.0	0	2	16	0.01	0.602	0.0	0.02	0.101	1.0	1.0	Inf	Inf	312	0.0	0.01	20	0.9896742725344149	20281	0.0004408	63520
20	20000	0.0	0	1	64	0.01	0.602	0.0	0.02	0.101	1.0	1.0	1.0	Inf	156	0.0	0.01	20	0.9885745287000979	20125	0.0007077	96576
20	20000	0.0	0	2	64	0.01	0.602	0.0	0.02	0.101	1.0	1.0	Inf	Inf	78	0.0	0.01	20	0.9927100532523181	20047	0.001167	135712
20	20000	0.0	0	1	1	0.1	0.602	0.0	0.02	0.101	1.0	1.0	1.0	Inf	10000	0.0	0.1	20	0.8606535927334168	30001	1.38e-5	1984
20	20000	0.0	0	2	1	0.1	0.602	0.0	0.02	0.101	1.0	1.0	Inf	Inf	5000	0.0	0.1	20	0.9340621067535538	25001	0.0002722	41184
20	20000	0.0	0	1	4	0.1	0.602	0.0	0.02	0.101	1.0	1.0	1.0	Inf	2500	0.0	0.1	20	0.9003529171671714	22501	4.68e-5	6496
20	20000	0.0	0	2	4	0.1	0.602	0.0	0.02	0.101	1.0	1.0	Inf	Inf	1250	0.0	0.1	20	0.9700153100259721	21251	0.0002989	45696
20	20000	0.0	0	1	16	0.1	0.602	0.0	0.02	0.101	1.0	1.0	1.0	Inf	625	0.0	0.1	20	0.9469766637986761	20626	0.0001757	24544
20	20000	0.0	0	2	16	0.1	0.602	0.0	0.02	0.101	1.0	1.0	Inf	Inf	312	0.0	0.1	20	0.9644376292288762	20281	0.0004508	63520
20	20000	0.0	0	1	64	0.1	0.602	0.0	0.02	0.101	1.0	1.0	1.0	Inf	156	0.0	0.1	20	0.9684041079136926	20125	0.0008572	96576
20	20000	0.0	0	2	64	0.1	0.602	0.0	0.02	0.101	1.0	1.0	Inf	Inf	78	0.0	0.1	20	0.9717580687789603	20047	0.0009774	135712
20	20000	0.0	0	1	1	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	1.0	Inf	10000	0.0	0.6283185307179586	20	0.4593877040675484	30001	1.35e-5	1984
20	20000	0.0	0	2	1	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	Inf	Inf	5000	0.0	0.6283185307179586	20	1.3103193194870771e141	25001	0.0002621	41184
20	20000	0.0	0	1	4	0.6283185307179586	0.602	0.0	0.02	0.101	1.0	1.0	1.0	Inf	2500	0.0	0.6283185307179586	20	0.46667738535494346	22501	4.63e-5	6496
