L	σ	M	order	n	η0	α	ApK	h0	γ	NpL	trust	tolerance	seed	nfev	f0	f1	f2	f3	minf
20	0.0	20000	1	16	1.0	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.9719585013609887	0.9669336613022667	0.9640493091533731	0.9619254430087968
20	0.0	20000	2	16	1.0	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9794084156071791	0.9680337174815405	0.9619594796848677	0.9579124568566839
20	0.0	20000	1	64	1.0	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9764764385054879	0.9715904051515399	0.9687581329155366	0.9666451281722752
20	0.0	20000	2	64	1.0	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.979256546831082	0.9669661489885878	0.9608682101321294	0.9567718513383181
20	0.0	20000	1	1	0.01	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.8743986964350657	0.7935983607621125	0.7338840097616338	0.6842206892422106
20	0.0	20000	2	1	0.01	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9447563013077241	0.8972847285149382	0.8620441302638756	0.8327504467356802
20	0.0	20000	1	4	0.01	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	0.9642460347574677	0.9450178674447387	0.9304949664067466	0.9175387363343908
20	0.0	20000	2	4	0.01	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9768770490676194	0.9603154214585655	0.9490296818827881	0.9401885373798178
20	0.0	20000	1	16	0.01	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.9845279488972736	0.9805699114522123	0.9774416667757324	0.9747149964479658
20	0.0	20000	2	16	0.01	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9892460683130648	0.982525556517624	0.9774429080994033	0.9734762077215582
20	0.0	20000	1	64	0.01	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9895638680808342	0.9881315383067848	0.9873497310143967	0.9867011878355597
20	0.0	20000	2	64	0.01	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9954001187492354	0.9922013709156935	0.990041753344007	0.9879992136225297
20	0.0	20000	1	1	0.1	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9921402838389595	0.9340949645923894	0.82815179386669	0.7488550116833382
20	0.0	20000	2	1	0.1	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9706317724139423	0.8728886261933235	0.7722127566571038	0.6494468037749442
20	0.0	20000	1	4	0.1	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	0.8120198557673266	0.6648590397453815	0.567535168551032	0.4777996139248001
20	0.0	20000	2	4	0.1	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9289030297690574	0.8393965903406759	0.7864681677910478	0.7353546029611535
20	0.0	20000	1	16	0.1	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.9198775033499601	0.8679136037549252	0.8305317527556849	0.7980944157697476
20	0.0	20000	2	16	0.1	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.961092638455454	0.9281056856741713	0.9068356011917658	0.8872203429193879
20	0.0	20000	1	64	0.1	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9744491353673063	0.9627648887009945	0.95373278164058	0.9456144186456926
20	0.0	20000	2	64	0.1	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.983233460092437	0.9692380060101794	0.9605269472659625	0.953949798424998
20	0.0	20000	1	1	0.6283185307179586	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997
20	0.0	20000	2	1	0.6283185307179586	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9976275711867738	0.996831308231471	0.9960409037484239	0.995144959933989
20	0.0	20000	1	4	0.6283185307179586	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	1.0	1.0	1.0	0.9997377114149133
20	0.0	20000	2	4	0.6283185307179586	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	1.0	0.9806420417141891	0.9113927999161353	0.8176083296150475
20	0.0	20000	1	16	0.6283185307179586	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.9942926108392544	0.9580424205764456	0.892333035195907	0.8472146792630074
20	0.0	20000	2	16	0.6283185307179586	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9571654944751145	0.8969539260053834	0.8177019562874076	0.7513191872142106
20	0.0	20000	1	64	0.6283185307179586	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.978688520601511	0.9272362812557905	0.9150802568932835	0.8995180774590503
20	0.0	20000	2	64	0.6283185307179586	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9672940657925432	0.9377197267199734	0.9046326126226774	0.8762542698160312
20	0.0	20000	1	1	1.0	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.9999999999999998
20	0.0	20000	2	1	1.0	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9976862565601728	0.996921583192139	0.99662731968251	0.9956771539404548
20	0.0	20000	1	4	1.0	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	1.0	1.0	1.0	1.0
20	0.0	20000	2	4	1.0	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	1.0	0.9949268632982653	0.9947299952287981	0.986802514000408
20	0.0	20000	1	16	1.0	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	1.0	1.0	0.9937788973259086	0.9579940920287955
20	0.0	20000	2	16	1.0	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9849481767179006	0.9372090136854968	0.8774674281429062	0.7865717347250406
20	0.0	20000	1	64	1.0	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	1.0	0.9937184019146098	0.9513354842271782	0.9356943175913469
20	0.0	20000	2	64	1.0	0.602	0.1	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9848626488560628	0.9522099616880321	0.9262008408950319	0.8850556614543376
20	0.0	20000	1	1	0.01	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9022895265950391	0.8574714734767748	0.830259374194555	0.8092132689663981
20	0.0	20000	2	1	0.01	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9543214811339953	0.9250600432628605	0.9066535376958164	0.8915863220860069
20	0.0	20000	1	4	0.01	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	0.9706311489203939	0.960639863848639	0.9542287481107261	0.9492590124188909
20	0.0	20000	2	4	0.01	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9810204002783897	0.9704538595776855	0.963701256027446	0.95892389144186
20	0.0	20000	1	16	0.01	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.9858839222261565	0.9837823459406523	0.9824042755922503	0.9813577225924354
20	0.0	20000	2	16	0.01	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9907102291649739	0.9862772045732069	0.9834057598239151	0.9811347898417442
20	0.0	20000	1	64	0.01	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9903518982750802	0.9891580880918486	0.988653507073434	0.9883088532645083
20	0.0	20000	2	64	0.01	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9960393147954083	0.9939780645055145	0.992829941496564	0.9918004671942908
20	0.0	20000	1	1	0.1	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9611930227467157	0.7788283119528598	0.6340065018460758	0.5189420421353018
20	0.0	20000	2	1	0.1	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9431076765656774	0.8131798238425774	0.7301290931852028	0.6594665229736605
20	0.0	20000	1	4	0.1	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	0.8174012450170796	0.7101363233131859	0.6401703985168365	0.5892016101334778
20	0.0	20000	2	4	0.1	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9354641031659453	0.8780987832936826	0.8439245448676471	0.8173949820055658
20	0.0	20000	1	16	0.1	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.936624410149672	0.9081504962637087	0.8911164521342203	0.8774157785817974
20	0.0	20000	2	16	0.1	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9699248933180854	0.9480214115973787	0.9365395737634803	0.9276757556431642
20	0.0	20000	1	64	0.1	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9780064186311073	0.9717718204173096	0.9677284155777673	0.9645588177564125
20	0.0	20000	2	64	0.1	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9853857905733288	0.9757253578229903	0.9701772652850774	0.9664464219971689
20	0.0	20000	1	1	0.6283185307179586	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9999999999999998	0.9999999999999997	0.9999999999999997	0.9899255468229297
20	0.0	20000	2	1	0.6283185307179586	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9982930001050015	0.97910283346748	0.9780038339602847	0.9564692509374076
20	0.0	20000	1	4	0.6283185307179586	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	1.0	0.9953174143625515	0.9140314142503344	0.774876870117013
20	0.0	20000	2	4	0.6283185307179586	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9845326850054209	0.8986353273936816	0.7947622590206794	0.7006738134712942
20	0.0	20000	1	16	0.6283185307179586	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.954281627913699	0.847598790490267	0.7863132607501364	0.724630867786224
20	0.0	20000	2	16	0.6283185307179586	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.943447428902697	0.8740418099884356	0.8297286866415022	0.794250558083816
20	0.0	20000	1	64	0.6283185307179586	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9539361754639687	0.9081241994965554	0.8799482068377704	0.8570462965532775
20	0.0	20000	2	64	0.6283185307179586	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9666255062381488	0.940712274226209	0.9229723720019668	0.9091991116645449
20	0.0	20000	1	1	1.0	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997
20	0.0	20000	2	1	1.0	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9968472082359158	0.9958587649856122	0.9945357060638604	0.9860866266897437
20	0.0	20000	1	4	1.0	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	1.0	1.0	0.9976356850818405	0.9429017573912677
20	0.0	20000	2	4	1.0	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	1.0	0.9681733905635213	0.876984596099493	0.7492046509873076
20	0.0	20000	1	16	1.0	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.9966286914642644	0.9115454431418515	0.8340186222690474	0.7885087528191875
20	0.0	20000	2	16	1.0	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9668590140820768	0.8838771977595093	0.8226483347144613	0.7744963840933936
20	0.0	20000	1	64	1.0	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.983092904580876	0.9221517658282206	0.8924572575601564	0.8586454326292982
20	0.0	20000	2	64	1.0	1.0	0.1	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9758036839703597	0.9499392226800624	0.9243153498113582	0.9055018934556341
20	0.0	20000	1	1	0.01	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.8322149960977954	0.6876447283731074	0.5676121896758906	0.45954520292287593
20	0.0	20000	2	1	0.01	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9347618324411041	0.8602545363873971	0.8105010056795112	0.7643067429040908
20	0.0	20000	1	4	0.01	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	0.9540832110384684	0.9177764287133904	0.8880628983706524	0.8594292744076985
20	0.0	20000	2	4	0.01	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9704980861245371	0.9441122777915202	0.9261618703252428	0.9101105241521028
20	0.0	20000	1	16	0.01	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.9823958918353741	0.9749430296026986	0.9683211446510331	0.962092495050243
20	0.0	20000	2	16	0.01	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9873323313516216	0.9772800431202868	0.9694111886415668	0.9635023406294908
20	0.0	20000	1	64	0.01	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9887486721443901	0.986862456985	0.9854169407399063	0.9840732380688976
20	0.0	20000	2	64	0.01	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9945460254087981	0.9897795018511594	0.9861697987901407	0.9829360234600335
20	0.0	20000	1	1	0.1	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9999999999999998	0.9962985794875628	0.9823131510545001	0.9632403260545407
20	0.0	20000	2	1	0.1	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9780807698697825	0.9603808774059699	0.9336629398233074	0.8206099579557247
20	0.0	20000	1	4	0.1	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	0.9074006484520901	0.8068469996105108	0.7419586610540417	0.6826702471418697
20	0.0	20000	2	4	0.1	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9312813679338653	0.8104668120924089	0.7175911071517582	0.6320539775974914
20	0.0	20000	1	16	0.1	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.8937901667369225	0.8057573652910343	0.743861659540186	0.6843931867403642
20	0.0	20000	2	16	0.1	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9522026159467256	0.9051425486942757	0.8673612283462325	0.8327287516286247
20	0.0	20000	1	64	0.1	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9689185519920231	0.9473637071115428	0.9289994019065323	0.9112294975679704
20	0.0	20000	2	64	0.1	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9816744120846089	0.9634294843115051	0.9499951165583856	0.939031886686912
20	0.0	20000	1	1	0.6283185307179586	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997
20	0.0	20000	2	1	0.6283185307179586	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9987699070190543	0.9983283147590661	0.9976664966098596	0.9969021049693416
20	0.0	20000	1	4	0.6283185307179586	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	1.0	1.0	1.0	1.0
20	0.0	20000	2	4	0.6283185307179586	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	1.0	0.9965922469420406	0.9943703045626252	0.9894437876609917
20	0.0	20000	1	16	0.6283185307179586	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	1.0	1.0	1.0	1.0
20	0.0	20000	2	16	0.6283185307179586	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9844475799552559	0.9388247175174069	0.883072064704868	0.8071159849334798
20	0.0	20000	1	64	0.6283185307179586	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	1.0	1.0	0.9836181345013986	0.9362409177509833
20	0.0	20000	2	64	0.6283185307179586	0.602	0.5	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9928747358407031	0.9453664384684339	0.9182100351825274	0.8692880205278192
