L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev
20	20000	0.01	0	1	16	0.1	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	625	62.5	1.2169417269950085	10	0.9425850907420584	20626
20	20000	0.01	0	2	16	0.1	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	312	31.200000000000003	0.8085916174625054	10	0.9227574347195855	20281
20	20000	0.01	0	1	64	0.1	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	156	15.600000000000001	0.5426315847816074	10	0.9926266001385983	20125
20	20000	0.01	0	2	64	0.1	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	78	7.800000000000001	0.3703211945055782	10	0.962357745744402	20047
20	20000	0.01	0	1	1	0.6283185307179586	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	10000	1000.0	40.219918201393526	10	0.9512209552803227	29980
20	20000	0.01	0	2	1	0.6283185307179586	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	5000	500.0	26.514422925316346	10	0.9045626264289414	24951
20	20000	0.01	0	1	4	0.6283185307179586	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	2500	250.0	17.489743838825635	10	0.8610901013754393	22456
20	20000	0.01	0	2	4	0.6283185307179586	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	1250	125.0	11.550557236634589	10	0.9337473838829469	21251
20	20000	0.01	0	1	16	0.6283185307179586	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	625	62.5	7.646270378748787	10	0.9112856488358321	20626
20	20000	0.01	0	2	16	0.6283185307179586	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	312	31.200000000000003	5.08053097034899	10	0.9111224392941527	20086
20	20000	0.01	0	1	64	0.6283185307179586	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	156	15.600000000000001	3.4094548007113694	10	0.9480513624585121	20125
20	20000	0.01	0	2	64	0.6283185307179586	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	78	7.800000000000001	2.326796688254643	10	0.951720241885313	19790
